,Age,Screen_time,Physical_Activities,Time_to_sleep,Sleep_hours,Screen_addiction,Restlessness_decrease_screen,Stress_excessive_screen,Isolation_during_screen,Asthenopia,Headache,Sleepdepr,B/Npain,Obesity,None,Gender,Screen_Affect,Screen_Before_bed,Drowsiness,Low_intr_otherAct
68,20,5,4,2,8,4,3,4,3,0,0,1,0,0,0,1,1,1,1,1
69,20,5,2,1,6,3,2,2,3,1,1,0,0,0,0,1,0,1,0,0
70,21,4,3,1,5,3,3,2,2,0,1,0,0,0,0,1,0,1,0,0
71,55,3,2,4,6,3,2,2,2,0,0,0,0,0,1,1,0,0,1,1
72,20,2,4,1,7,3,2,4,2,0,0,0,0,0,1,0,1,1,0,0
73,20,3,3,1,8,3,3,3,2,0,0,1,0,0,0,0,1,1,1,1
74,21,3,3,1,6,3,1,3,3,1,1,0,0,0,0,1,1,1,0,1
75,20,3,2,1,7,2,1,3,3,1,0,0,0,0,0,1,1,1,0,1
76,22,5,2,2,8,4,3,5,4,0,1,1,0,1,0,1,1,1,1,1
77,21,4,5,1,5,2,2,3,1,0,1,0,0,0,0,0,0,1,1,1
78,21,3,3,1,6,3,1,1,4,0,0,0,0,0,1,1,0,1,0,0
79,21,3,4,1,7,3,2,3,2,0,0,0,0,0,1,1,0,1,0,1
80,21,5,2,1,6,4,3,3,4,0,0,1,0,0,0,1,1,1,0,1
81,21,3,3,1,7,2,1,1,1,1,0,0,1,0,0,1,0,1,0,0
82,20,4,4,1,6,2,1,5,3,0,1,1,0,0,0,0,0,1,1,1
83,21,3,3,2,6,4,4,4,4,1,0,0,0,1,0,0,1,1,1,1
84,20,4,3,4,7,2,4,3,2,1,1,1,1,0,0,1,1,1,1,1
85,20,4,5,1,6,3,3,2,3,1,0,0,0,0,0,1,0,0,1,1
86,20,3,5,1,7,4,2,1,3,0,0,0,0,0,1,1,0,1,0,1
87,22,4,3,1,6,3,3,2,2,1,0,0,0,0,0,0,0,1,0,1
88,20,5,4,1,8,2,3,2,4,1,1,0,0,0,0,0,0,1,0,1
89,21,3,2,1,4,3,3,2,2,1,1,1,1,0,0,1,1,1,1,0
90,19,3,4,1,8,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1
91,20,4,2,1,4,3,1,2,1,0,0,0,0,0,1,1,0,1,1,0
92,19,4,2,1,5,1,1,3,3,0,0,0,1,0,0,0,1,1,0,0
93,21,1,2,2,8,1,1,1,3,0,0,0,0,0,1,1,0,1,1,1
94,21,3,2,4,7,4,3,3,3,0,0,0,0,0,1,0,0,1,1,1
95,19,4,2,1,8,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0
96,20,4,2,1,8,3,1,2,1,0,1,0,0,0,0,1,0,1,1,0
97,21,4,3,1,6,4,3,3,3,0,1,0,0,0,0,1,0,1,0,1
98,19,3,4,1,6,3,3,4,5,1,1,1,0,0,0,0,1,1,1,0
99,18,4,3,2,5,4,2,1,1,1,1,1,1,0,0,0,0,1,0,1
100,19,5,4,1,6,5,4,3,2,0,0,0,0,0,1,0,0,1,1,0
101,21,4,4,1,6,2,2,3,3,0,1,0,1,0,0,1,1,1,1,0
102,19,3,5,1,7,3,1,3,1,0,0,0,0,0,1,0,1,0,0,1
103,20,3,3,1,7,3,2,3,2,0,0,0,0,0,1,0,0,1,0,1
104,21,2,5,1,8,2,2,3,3,0,0,0,0,0,1,0,0,0,0,0
105,20,3,2,1,8,3,1,2,3,0,1,0,0,0,0,1,0,1,1,0
106,18,4,4,2,7,4,4,4,4,0,1,1,0,0,0,0,1,1,1,1
107,19,4,3,2,6,4,4,3,2,0,1,1,0,0,0,1,0,1,1,1
108,18,4,3,1,8,3,3,3,3,1,1,0,1,0,0,0,1,1,0,1
109,18,3,3,4,6,3,3,3,3,1,1,1,0,0,0,0,1,1,0,1
110,19,2,4,2,6,3,4,4,2,0,1,1,1,0,0,0,0,1,0,1
111,19,3,4,2,4,3,2,3,2,0,1,1,1,0,0,1,0,0,1,0
112,19,3,1,1,7,2,3,3,5,0,0,0,0,0,1,0,0,0,1,1
113,20,3,2,2,6,3,1,4,4,0,0,1,0,0,0,1,1,1,0,1
114,19,3,3,1,7,3,1,1,1,0,1,0,1,0,0,0,0,1,1,1
115,19,5,1,1,9,5,4,4,5,0,0,1,0,0,0,0,1,1,1,1
116,20,3,3,1,6,3,1,2,3,0,0,0,0,1,0,0,0,1,0,0
117,19,2,3,2,6,2,1,1,3,0,0,0,1,0,0,0,0,1,0,0
118,19,4,4,2,6,4,2,1,3,1,1,1,0,0,0,0,1,1,1,0
119,21,5,2,2,6,5,3,2,4,0,0,1,0,0,0,0,0,1,1,0
120,19,4,4,3,5,3,2,3,2,0,0,0,0,0,1,1,0,1,1,1
121,19,4,3,1,7,3,3,3,2,0,0,0,0,0,1,1,0,1,1,0
122,18,3,4,1,5,2,2,2,2,0,0,0,0,0,1,0,0,1,0,0
123,19,3,3,3,9,2,3,2,3,0,0,0,0,0,1,0,1,0,1,1
124,21,3,4,2,1,4,3,3,3,1,0,0,1,0,0,0,1,1,0,0
125,18,4,1,3,6,3,3,5,5,0,1,0,1,0,0,1,0,1,1,1
126,20,4,2,2,8,3,3,3,3,0,0,0,0,0,1,1,0,1,0,1
127,18,4,5,1,6,3,2,2,3,0,0,0,0,0,1,0,0,1,0,0
128,18,5,4,1,5,4,2,1,3,0,0,1,0,1,0,0,0,1,1,0
129,18,3,3,1,5,2,2,2,2,0,0,0,0,1,0,0,0,1,1,0
130,19,2,3,2,8,3,2,3,3,1,0,0,0,0,0,0,0,1,0,1
131,19,2,4,1,5,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0
132,19,4,4,1,7,4,2,2,4,0,0,0,0,0,1,1,0,1,1,0
133,19,3,4,1,7,3,2,2,3,1,1,0,0,0,0,1,0,1,0,1
134,20,3,4,1,7,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
135,19,4,3,2,5,4,3,3,4,1,1,1,0,0,0,0,0,1,1,1
136,20,3,2,1,6,3,1,3,2,1,1,0,1,0,0,1,1,1,1,1
137,21,5,4,1,8,4,2,2,1,0,0,0,1,0,0,0,0,1,0,1
138,20,5,2,1,8,3,3,3,4,0,0,0,1,0,0,1,1,0,0,1
139,21,4,3,3,4,4,3,4,3,0,0,0,0,0,1,0,0,1,0,1
140,69,3,1,4,6,5,5,5,5,1,1,1,1,1,0,0,1,1,1,1
141,17,1,3,1,10,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1
142,22,4,3,3,1,5,3,2,5,0,0,1,0,1,0,0,1,1,1,1
143,17,4,2,1,7,2,3,1,2,1,0,1,0,0,0,1,0,1,0,0
144,21,4,4,1,7,3,2,3,2,0,1,1,0,1,0,0,1,1,0,1
145,22,1,4,2,7,5,1,1,5,0,0,1,0,0,0,0,0,1,1,0
146,22,4,5,1,7,5,3,3,3,1,0,0,0,0,0,0,1,1,1,1
147,21,3,3,1,7,2,3,3,2,0,1,0,0,0,0,0,0,1,0,1
148,20,4,3,3,6,3,2,3,3,1,0,0,1,0,0,0,1,1,1,0
149,21,5,4,2,6,3,3,1,2,0,0,0,0,0,1,0,0,1,1,1
150,21,3,3,3,6,3,3,3,3,1,1,0,1,0,0,1,1,1,0,1
151,21,3,4,1,7,3,2,2,4,0,0,1,0,0,0,0,1,1,0,1
152,20,3,4,1,8,2,2,3,3,0,1,0,0,0,0,1,0,1,0,0
153,52,2,3,2,5,2,1,1,1,1,0,0,0,0,0,1,0,1,1,0
154,21,3,5,1,8,1,3,1,4,0,0,0,0,0,1,0,0,1,0,0
155,17,5,2,1,6,1,2,2,1,1,1,0,0,0,0,1,1,1,0,0
156,16,4,2,1,8,2,2,3,2,0,1,1,0,0,0,1,1,0,1,1
157,21,3,2,2,5,4,3,3,3,0,0,1,0,0,0,0,0,1,0,1
158,20,2,3,4,5,2,4,2,3,0,0,0,0,0,1,0,0,1,1,1
159,19,5,4,4,6,5,4,3,4,0,1,1,0,0,0,1,1,1,0,1
160,23,3,4,1,8,4,5,5,2,0,0,0,0,0,1,1,0,1,0,1
161,21,5,3,1,6,3,3,2,2,0,0,0,0,0,1,0,0,1,1,1
162,20,2,5,1,8,3,1,1,1,0,0,0,0,0,1,0,0,1,0,1
163,20,4,3,1,7,3,3,4,2,1,1,0,0,0,0,0,1,1,0,1
164,21,4,4,4,7,3,2,3,3,1,0,0,0,0,0,0,0,1,1,1
165,23,3,1,1,6,1,5,2,1,1,0,0,0,0,0,1,0,1,0,1
166,20,4,5,4,5,5,5,5,4,1,1,1,0,0,0,1,1,1,0,1
167,18,3,2,1,6,3,2,3,3,0,1,1,1,0,0,1,0,1,0,1
168,19,3,3,1,6,3,1,1,3,1,1,0,1,0,0,1,0,1,0,1
169,21,2,4,2,6,4,3,2,3,0,0,0,0,0,1,0,1,0,0,1
170,20,3,1,1,6,3,3,3,3,1,1,1,0,0,0,0,1,1,1,1
171,21,2,3,1,7,2,2,3,5,0,0,0,0,0,1,1,0,0,0,1
172,20,3,2,1,7,3,3,2,3,1,0,0,0,0,0,0,0,1,0,0
173,20,4,4,2,6,3,3,2,2,1,1,0,1,0,0,0,1,1,1,1
174,21,3,4,1,7,3,2,2,4,0,0,0,1,0,0,0,0,1,0,0
175,20,5,2,1,8,4,3,3,3,0,0,0,0,0,1,0,0,1,0,0
176,22,4,3,2,6,4,3,3,1,1,1,1,1,0,0,0,1,1,1,1
177,23,3,4,1,6,2,1,3,1,1,1,0,1,0,0,1,1,1,0,1
178,23,3,4,3,7,3,3,3,3,0,0,1,0,0,0,1,1,1,1,0
179,21,4,4,1,630,3,2,3,4,0,0,0,0,0,1,0,0,1,0,0
180,20,3,1,1,8,3,3,3,3,1,0,0,0,0,0,0,0,1,1,1
181,20,4,5,4,8,3,3,4,3,0,0,0,0,0,1,1,1,1,0,1
182,45,2,3,1,8,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1
183,21,3,2,2,6,3,1,3,2,1,0,1,0,0,0,1,1,1,1,1
184,17,1,2,2,6,1,1,2,1,1,1,0,1,1,0,1,1,0,0,1
185,21,3,1,1,5,3,3,4,3,0,0,0,1,0,0,0,0,1,0,0
186,20,4,4,2,6,2,2,1,2,1,0,0,0,0,0,1,0,1,0,0
187,20,3,4,1,8,2,2,2,1,0,0,0,0,0,1,0,0,1,0,0
188,20,4,3,2,7,4,4,4,5,0,0,1,0,0,0,0,1,1,1,1
189,21,3,5,2,7,2,3,2,2,0,0,0,0,0,1,0,0,1,1,1
190,24,3,2,1,5,2,1,3,2,0,0,0,1,0,0,0,0,1,0,1
191,33,2,2,1,6,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1
192,21,2,5,4,8,3,3,4,4,0,0,0,0,0,1,0,0,1,1,1
193,22,4,3,1,6,3,2,2,4,0,1,1,1,0,0,0,1,1,1,1
194,21,4,3,1,8,1,1,1,3,0,0,0,0,0,1,0,0,1,0,1
195,22,5,2,2,7,2,1,3,5,1,1,1,1,1,0,1,1,1,1,1
196,22,3,3,2,5,3,2,2,4,1,0,0,0,1,0,0,0,0,0,0
197,22,4,2,2,7,2,2,2,2,0,0,0,0,1,0,0,0,1,1,0
198,21,3,5,1,6,3,3,4,3,1,1,0,0,0,0,0,0,1,1,1
199,18,4,4,3,6,3,3,3,3,0,1,0,0,0,0,0,1,0,1,0
200,20,2,4,1,8,1,1,3,1,0,1,0,0,0,0,1,1,1,0,1
201,19,3,4,1,6,3,2,3,3,0,1,0,1,0,0,0,1,1,0,0
202,40,2,4,1,7,3,3,2,3,0,0,1,0,0,0,1,1,1,0,1
203,22,4,2,1,7,4,2,3,2,1,1,0,0,0,0,0,1,1,1,0
204,19,4,4,2,5,4,4,4,5,0,1,1,0,0,0,0,1,1,1,1
205,21,3,3,1,8,3,2,1,2,0,0,0,0,0,1,0,0,1,0,0
206,21,3,3,1,6,2,2,2,2,1,1,0,1,0,0,0,1,1,1,1
207,20,4,3,1,7,3,2,2,3,1,1,0,0,0,0,1,0,1,1,0
208,23,4,3,1,6,2,1,1,1,0,0,0,0,1,0,0,0,1,1,0
209,38,4,4,2,8,3,3,3,3,0,0,0,1,0,0,1,1,1,0,0
210,21,4,2,1,7,2,2,4,2,1,0,0,0,0,0,0,1,1,0,0
211,20,4,4,2,6,4,2,2,5,0,1,1,1,0,0,0,1,1,1,1
212,19,3,1,1,8,3,3,3,3,0,1,0,1,0,0,1,1,1,1,1
213,21,2,2,1,7,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
214,21,2,4,1,6,2,2,2,2,0,0,0,0,0,1,0,0,1,0,0
215,21,2,4,1,6,2,2,2,2,0,0,0,0,1,0,0,0,1,0,0
216,21,3,3,1,8,4,2,3,3,1,1,1,1,0,0,1,1,1,1,0
217,20,4,4,2,6,3,3,4,3,0,1,0,1,0,0,1,1,1,0,1
218,20,4,4,4,7,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1
219,19,5,3,4,6,5,5,1,2,0,0,0,0,0,1,0,0,1,0,1
220,18,2,3,1,8,3,3,4,1,0,1,0,0,0,0,1,0,1,1,1
221,20,3,5,2,6,2,2,1,4,0,0,0,1,0,0,1,0,1,0,0
222,19,5,1,4,8,1,2,5,1,1,0,0,0,0,0,0,0,1,0,1
223,16,3,1,1,6,3,2,1,2,1,0,0,0,0,0,1,0,1,0,1
224,19,3,2,2,7,3,3,3,1,0,1,0,0,0,0,1,1,1,0,1
225,20,3,1,3,9,3,3,3,2,0,0,1,0,0,0,1,1,1,1,1
226,16,5,2,1,7,3,3,1,1,0,0,0,0,0,1,1,0,0,0,1
227,21,4,4,1,7,3,3,3,3,0,0,0,1,0,0,0,1,0,0,1
228,19,4,3,2,6,3,3,2,4,1,1,1,1,1,0,0,1,1,1,1
229,21,5,4,2,8,4,1,3,3,1,1,1,0,0,0,1,1,0,0,0
230,21,5,4,1,6,1,1,1,2,0,0,0,1,0,0,0,0,1,0,0
231,23,4,3,1,7,2,3,1,4,1,0,1,0,0,0,0,1,1,1,1
232,21,3,5,2,9,3,4,4,4,1,1,1,1,1,0,0,1,1,1,0
233,16,3,3,2,3,3,3,1,3,1,1,1,0,0,0,1,0,0,0,1
234,21,4,2,1,7,4,3,3,4,1,0,0,1,0,0,0,1,1,1,1
235,22,2,3,2,8,2,1,3,1,1,1,0,1,0,0,1,1,1,0,1
236,39,2,5,1,7,1,1,1,3,0,0,0,0,0,1,1,0,1,0,1
237,17,5,3,1,6,3,4,3,3,1,0,0,0,0,0,1,0,1,1,1
238,17,3,2,1,6,2,1,1,4,1,0,0,0,0,0,1,1,1,1,0
239,17,4,1,1,6,4,1,2,2,1,0,1,0,0,0,1,1,1,0,1
240,21,4,2,4,6,4,3,3,3,0,1,1,1,0,0,1,1,1,1,1
241,17,4,1,2,6,2,5,5,5,0,1,0,1,0,0,1,1,1,0,1
242,19,4,4,1,5,3,1,3,3,1,1,1,1,0,0,1,1,1,0,0
243,17,3,2,2,3,3,3,1,3,1,0,0,0,0,0,1,1,1,1,1
244,16,4,2,1,6,2,2,2,1,0,1,0,0,1,0,1,0,1,0,1
245,17,5,4,1,5,3,3,2,1,1,1,0,0,0,0,1,1,1,0,1
246,16,5,2,1,7,4,3,4,3,1,1,1,1,0,0,1,1,1,1,1
247,17,4,3,2,5,3,4,2,3,0,1,0,0,0,0,1,1,1,1,1
248,17,5,3,1,5,4,3,3,2,1,1,0,1,0,0,1,1,1,1,1
249,22,3,3,1,7,3,3,3,3,0,1,0,0,0,0,1,0,1,1,1
250,17,4,3,1,6,3,3,3,2,1,1,0,0,0,0,1,1,1,1,1
251,16,4,4,2,6,3,5,2,1,0,0,0,0,0,1,1,1,1,1,1
252,17,4,2,1,7,1,4,2,3,0,1,0,0,0,0,1,1,1,0,1
253,17,4,2,1,6,2,4,2,3,1,1,0,0,0,0,1,0,1,1,0
254,22,3,4,1,8,2,3,3,4,0,0,1,0,0,0,0,0,1,1,0
255,16,5,5,1,5,4,3,3,2,0,0,0,0,0,1,1,0,1,1,0
256,17,3,2,1,7,1,2,3,1,0,0,0,0,0,1,1,0,1,1,1
257,24,3,1,1,8,5,1,1,1,0,0,0,0,0,1,1,0,1,0,0
258,25,2,2,1,7,2,3,2,3,0,0,0,0,0,1,0,0,1,0,1
259,21,3,1,2,6,4,3,3,3,1,0,0,0,0,0,0,1,1,1,0
260,21,2,1,1,7,3,3,3,3,0,0,1,0,0,0,1,1,1,1,0
261,22,4,1,2,6,3,3,3,3,1,1,1,0,0,0,0,1,1,1,1
262,16,3,2,2,8,2,1,3,3,1,1,1,1,0,0,1,1,1,1,1
263,21,3,2,2,7,2,2,3,2,1,0,0,0,0,0,1,0,1,0,0
264,17,1,3,1,7,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
265,20,4,3,1,7,5,1,5,5,0,1,1,0,0,0,1,1,1,1,1
266,20,2,3,1,7,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
267,21,4,2,1,7,3,3,3,3,0,1,0,0,0,0,1,1,1,1,1
268,20,5,2,4,4,3,3,3,3,1,1,1,0,1,0,0,1,1,0,1
269,19,4,1,2,9,3,2,1,3,0,1,0,0,0,0,1,1,1,0,1
270,22,3,5,1,7,2,1,1,2,1,0,0,0,0,0,0,0,1,0,0
271,21,5,4,1,6,5,3,1,3,0,0,1,0,0,0,1,1,1,0,0
272,22,4,2,2,7,3,3,4,3,1,1,1,1,1,0,0,1,1,1,1
273,20,4,3,2,8,3,2,1,2,0,0,0,0,0,1,1,0,1,0,0
274,20,5,3,2,7,4,3,3,3,0,1,0,1,0,0,0,1,1,1,1
275,21,3,5,4,6,3,3,2,1,1,0,0,0,0,0,0,1,0,1,1
276,17,1,1,1,6,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
277,17,3,2,1,6,2,1,1,1,0,0,0,0,0,1,1,0,0,0,1
278,17,1,3,1,5,2,5,3,4,0,0,0,1,0,0,1,0,0,1,1
279,17,4,1,3,6,3,2,3,3,0,1,0,0,0,0,1,1,1,0,1
280,19,5,3,4,7,5,1,5,1,1,1,1,1,0,0,0,1,1,1,0
281,20,3,2,1,9,3,2,1,1,0,0,0,1,0,0,0,0,1,0,1
282,20,3,4,1,7,3,2,3,3,0,0,0,0,0,1,0,0,1,0,1
283,19,5,5,1,8,3,5,4,3,1,1,0,1,0,0,0,1,1,1,0
284,20,5,1,2,7,3,3,4,3,1,1,1,0,0,0,0,1,1,0,1
285,20,3,4,1,6,2,3,1,3,0,0,0,0,0,1,0,1,1,0,0
286,17,4,2,4,6,3,2,3,4,1,1,1,1,0,0,1,0,1,1,1
287,21,5,2,1,8,3,1,1,1,0,0,0,0,0,1,1,0,1,1,0
288,19,5,3,2,8,4,3,3,4,0,1,0,0,0,0,0,0,1,1,1
289,16,4,3,1,10,4,2,1,3,0,0,0,1,0,0,1,1,1,1,1
290,18,3,1,1,10,3,5,3,1,0,0,0,1,0,0,0,0,0,0,1
291,20,3,1,2,7,3,1,3,2,0,0,0,1,0,0,0,1,1,1,0
292,19,3,2,2,4,2,1,1,4,0,0,0,1,0,0,0,1,1,1,1
293,21,4,4,1,7,3,1,3,2,0,1,1,1,1,0,1,0,1,0,1
294,21,4,5,1,8,3,3,2,1,0,0,0,0,0,1,0,0,1,0,1
295,17,3,2,1,7,2,5,1,3,0,0,0,0,0,1,1,1,1,1,1
296,21,5,5,2,6,4,3,3,3,0,1,1,1,0,0,0,0,1,1,1
297,22,4,4,3,5,5,1,5,5,1,1,1,1,0,0,1,1,1,1,1
298,16,4,2,2,5,3,3,1,3,0,0,0,0,0,1,1,1,1,1,1
299,21,2,5,2,7,2,3,1,1,0,1,0,0,0,0,0,0,1,1,0
300,21,3,3,1,7,3,1,2,2,1,0,0,0,0,0,0,0,1,0,1
301,19,3,2,1,7,2,1,3,2,1,1,1,1,0,0,1,1,1,1,1
302,18,5,2,2,5,3,1,3,1,0,0,0,1,0,0,0,0,1,1,0
303,20,4,1,4,4,5,3,5,3,1,1,1,1,1,0,1,1,1,1,1
304,20,3,2,2,9,3,3,3,2,1,1,0,0,0,0,0,1,1,0,0
305,20,3,3,1,5,3,1,2,4,0,1,0,0,0,0,0,1,1,1,1
306,21,3,5,1,6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
307,16,3,3,2,7,3,3,2,2,1,1,0,1,0,0,1,1,0,0,0
308,20,1,3,2,7,3,2,4,2,0,0,0,0,0,1,0,0,0,0,1
309,21,3,2,2,8,3,2,3,2,0,0,1,1,0,0,0,0,1,0,1
310,20,3,2,1,7,1,1,2,1,1,0,0,0,0,0,1,0,1,0,0
311,23,5,2,1,8,3,2,2,2,0,1,0,0,0,0,1,0,1,0,0
312,22,2,3,1,8,2,1,2,2,0,0,0,0,0,1,0,0,1,0,1
313,23,3,3,1,7,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0
314,20,2,3,2,7,3,2,3,3,1,1,1,1,0,0,1,0,0,0,0
315,19,2,2,2,7,1,2,2,1,0,0,0,0,0,1,1,1,0,0,1
316,19,3,4,4,8,3,1,3,2,0,0,0,0,0,1,1,0,0,1,1
317,20,3,3,2,6,3,3,3,4,0,1,0,0,0,0,1,1,1,1,1
318,20,3,2,4,8,3,2,3,3,0,0,1,0,0,0,1,1,0,0,1
319,19,3,5,3,8,3,2,3,4,0,0,1,0,0,0,1,1,0,0,1
320,20,3,2,2,8,3,4,2,3,0,1,0,0,0,0,1,1,1,0,1
321,19,3,2,1,9,3,4,2,3,0,1,0,0,0,0,1,1,1,0,1
322,20,3,3,4,5,5,5,3,4,0,0,0,1,0,0,1,0,0,1,1
323,19,2,3,2,7,3,3,2,2,1,0,0,0,0,0,1,0,1,0,1
324,19,2,3,2,8,3,3,2,2,1,0,0,0,0,0,1,0,1,0,1
325,20,2,2,2,8,3,2,4,4,0,1,0,0,0,0,1,0,0,0,1
